SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,8 Asticou Rd #1,Boston,MA,02130,584900,3,1.0,Jamaica Plain,1395,2780,1910,118,419,152,Active,,,http://www.redfin.com/MA/Boston/8-Asticou-Rd-02130/unit-1/home/145294623,MLS PIN,72305604,N,Y,42.3003329,-71.1148912
MLS Listing,,Multi-Family (2-4 Unit),8-8A Asticou Rd,Boston,MA,02130,1249000,7,2.5,Jamaica Plain,3416,2780,1910,118,366,,Active,,,http://www.redfin.com/MA/Boston/88A-Asticou-Rd-02130/home/146428370,MLS PIN,72305584,N,Y,42.3001477,-71.1150271
MLS Listing,,Condo/Co-op,200 -202 beacon Unit 1&3,Boston,MA,02116,9995000,3,3.5,Back Bay,5410,,1890,119,1848,3356,Active,,,http://www.redfin.com/MA/Boston/200-Beacon-St-02116/unit-1-3/home/146410716,MLS PIN,72305388,N,Y,42.3543031,-71.0779571
MLS Listing,,Multi-Family (2-4 Unit),408-410 Western Ave,Boston,MA,02135,1995000,8,3.0,Brighton,3176,6375,,120,628,,Active,,,http://www.redfin.com/MA/Boston/408-Western-Ave-02135/home/9010259,MLS PIN,72305222,N,Y,42.362359,-71.139726
MLS Listing,,Single Family Residential,56 Monadnock St,Boston,MA,02125,1197000,4,4.0,Dorchester's Uphams Corner,2678,6722,1890,120,447,,Active,,,http://www.redfin.com/MA/Dorchester/56-Monadnock-St-02125/home/9064797,MLS PIN,72305170,N,Y,42.3155111,-71.0690442
MLS Listing,,Condo/Co-op,1241 Adams St #609,Boston,MA,02124,725000,2,2.0,Dorchester's Lower Mills,1376,1376,1900,121,527,879,Active,,,http://www.redfin.com/MA/Boston/1241-Adams-St-02124/unit-609/home/9064534,MLS PIN,72304839,N,Y,42.2714635,-71.0681449
MLS Listing,,Single Family Residential,2 Alpine Pl,Boston,MA,02119,459999,3,2.5,Roxbury,1374,1158,1905,121,335,,Active,,,http://www.redfin.com/MA/Boston/2-Alpine-Pl-02119/home/9290233,MLS PIN,72304758,N,Y,42.3253455,-71.0856414
MLS Listing,,Condo/Co-op,241 Perkins St Unit D404,Boston,MA,02130,850000,2,3.0,Jamaica Plain,2288,2288,1982,122,372,1797,Active,,,http://www.redfin.com/MA/Boston/241-Perkins-St-02130/unit-D404/home/9143480,MLS PIN,72304378,N,Y,42.3217324,-71.1222456
MLS Listing,,Condo/Co-op,20 Taft Hill Park Unit 1B,Boston,MA,02131,533000,1,1.0,Roslindale,1073,,2018,122,497,,Active,,,http://www.redfin.com/MA/Boston/20-Taft-Hill-Park-02131/unit-1B/home/145279179,MLS PIN,72304242,N,Y,42.2879366,-71.1286167
MLS Listing,,Condo/Co-op,20 Taft Hill Park Unit 4B,Boston,MA,02131,533000,1,1.0,Roslindale,929,,2018,122,574,,Active,,,http://www.redfin.com/MA/Boston/20-Taft-Hill-Park-02131/unit-4B/home/145279090,MLS PIN,72304230,N,Y,42.2879366,-71.1286167
MLS Listing,,Condo/Co-op,110 Stuart St Unit 23G,Boston,MA,02116,2390000,2,2.5,Back Bay,1871,,2009,122,1277,2040,Active,,,http://www.redfin.com/MA/Boston/110-Stuart-St-02116/unit-23G/home/39913262,MLS PIN,72303854,N,Y,42.3509572,-71.0654038
MLS Listing,,Condo/Co-op,188 Brookline Ave Unit 25-4J,Boston,MA,02215,1250500,1,1.0,The Fenway,762,,2018,122,1641,666,Active,,,http://www.redfin.com/MA/Boston/188-Brookline-Ave-02215/unit-25-4J/home/145277611,MLS PIN,72303810,N,Y,42.3437734,-71.1017218
MLS Listing,,Condo/Co-op,11 Exeter #4,Boston,MA,02116,1815000,2,2.0,Back Bay,1145,,1900,123,1585,638,Active,,,http://www.redfin.com/MA/Boston/11-Exeter-St-02116/unit-4/home/144970910,MLS PIN,72303389,N,Y,42.352353,-71.081185
MLS Listing,,Condo/Co-op,17 Hancock St #2,Boston,MA,02114,3085000,3,3.0,Beacon Hill,2674,,1880,123,1154,521,Active,,,http://www.redfin.com/MA/Boston/17-Hancock-St-02114/unit-2/home/145254366,MLS PIN,72303371,N,Y,42.360612,-71.0646685
MLS Listing,,Single Family Residential,50 Beacon St,Newton,MA,02467,4199000,5,6.0,Chestnut Hill,6846,40000,1930,123,613,,Active,,,http://www.redfin.com/MA/Newton/50-Beacon-St-02467/home/113511585,MLS PIN,72303216,N,Y,42.3324762,-71.1599371
MLS Listing,,Condo/Co-op,14 W Broadway #301,Boston,MA,02127,1329000,2,2.0,South Boston,1399,,2018,123,950,1229,Active,,,http://www.redfin.com/MA/Boston/14-W-Broadway-02127/unit-301/home/145273681,MLS PIN,72303024,N,Y,42.3428463,-71.0569762
